circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,THOLKATTA,AGRICULTURAL,5,271,264.0,625,1018.8
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,VENKATA PUR,AGRICULTURAL,5,7,3.0,0,26.25
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,VENKATAPUR,AGRICULTURAL,5,109,97.0,0,412.5
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,YENKAPALLY,AGRICULTURAL,5,241,210.0,0,906.88
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KOTHAPALLY,AGRICULTURAL,5,13,11.0,0,48.75
CYBERCITY,IBRAHIMBAGH,MOKILA,MOKILA,DONTHAN PALLLY,AGRICULTURAL,5,208,193.0,67,785.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,CHERLA GUDA,AGRICULTURAL,5,69,65.0,0,258.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,DAMARLA PALLY,AGRICULTURAL,5,189,183.0,0,708.75
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,DAYALA GUDA,AGRICULTURAL,5,14,14.0,0,52.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,DEVUNI GADDA,AGRICULTURAL,5,18,18.0,0,67.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,E ERRA VALLY,AGRICULTURAL,5,140,138.0,0,523.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,EARRNI GUDA,AGRICULTURAL,5,31,31.0,0,116.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,ELGONDA GUDA,AGRICULTURAL,5,28,28.0,0,105.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KUMARAGUDA,AGRICULTURAL,5,107,107.0,0,401.25
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KURVAGUDA,AGRICULTURAL,5,58,53.0,0,217.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,LAXMIRAO GUDA,AGRICULTURAL,5,58,56.0,0,217.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,LINGAREDDY GUDA (D),AGRICULTURAL,5,15,15.0,0,56.25
